1,肖申克的救赎,9.7,1994,美国,犯罪 剧情
2,霸王别姬,9.6,1993,中国大陆 中国香港,剧情 爱情 同性
3,阿甘正传,9.5,1994,美国,剧情 爱情
4,这个杀手不太冷,9.4,1994,法国,剧情 动作 犯罪
5,美丽人生,9.5,1997,意大利,剧情 喜剧 爱情 战争
6,泰坦尼克号,9.4,1997,美国,剧情 爱情 灾难
7,千与千寻,9.3,2001,日本,剧情 动画 奇幻
8,辛德勒的名单,9.5,1993,美国,剧情 历史 战争
9,盗梦空间,9.3,2010,美国 英国,剧情 科幻 悬疑 冒险
10,忠犬八公的故事,9.3,2009,美国 英国,剧情
11,海上钢琴师,9.3,1998,意大利,剧情 音乐
12,机器人总动员,9.3,2008,美国,科幻 动画 冒险
13,三傻大闹宝莱坞,9.2,2009,印度,剧情 喜剧 爱情 歌舞
14,楚门的世界,9.3,1998,美国,剧情 科幻
15,放牛班的春天,9.3,2004,法国 瑞士 德国,剧情 音乐
16,星际穿越,9.3,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险
17,大话西游之大圣娶亲,9.2,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
18,熔炉,9.3,2011,韩国,剧情
19,龙猫,9.2,1988,日本,动画 奇幻 冒险
20,无间道,9.2,2002,中国香港,剧情 犯罪 悬疑
21,教父,9.3,1972,美国,剧情 犯罪
22,疯狂动物城,9.2,2016,美国,喜剧 动画 冒险
23,当幸福来敲门,9.1,2006,美国,剧情 传记 家庭
24,怦然心动,9,2010,美国,剧情 喜剧 爱情
25,触不可及,9.2,2011,法国,剧情 喜剧
26,蝙蝠侠：黑暗骑士,9.2,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚
27,活着,9.2,1994,中国大陆 中国香港,剧情 历史 家庭
28,控方证人,9.6,1957,美国,剧情 犯罪 悬疑
29,乱世佳人,9.3,1939,美国,剧情 历史 爱情 战争
30,少年派的奇幻漂流,9,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险
31,摔跤吧！爸爸,9,2016,印度,剧情 传记 运动 家庭
32,指环王3：王者无敌,9.2,2003,美国 新西兰,剧情 动作 奇幻 冒险
33,飞屋环游记,9,2009,美国,剧情 喜剧 动画 冒险
34,鬼子来了,9.2,2000,中国大陆,剧情 历史 战争
35,十二怒汉,9.4,1957,美国,剧情
36,天空之城,9.1,1986,日本,动画 奇幻 冒险
37,寻梦环游记,9.1,2017,美国,喜剧 动画 奇幻 音乐
38,末代皇帝,9.2,1987,英国 意大利 中国大陆 法国,剧情 传记 历史
39,天堂电影院,9.2,1988,意大利 法国,剧情 爱情
40,大话西游之月光宝盒,9,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
41,哈尔的移动城堡,9,2004,日本,动画 奇幻 冒险
42,罗马假日,9,1953,美国,喜剧 剧情 爱情
43,搏击俱乐部,9,1999,美国 德国,剧情 动作 悬疑 惊悚
44,闻香识女人,9,1992,美国,剧情
45,素媛,9.2,2013,韩国,剧情
46,辩护人,9.2,2013,韩国,剧情
47,何以为家,9.1,2018,黎巴嫩 法国 美国,剧情
48,窃听风暴,9.1,2006,德国,剧情 悬疑
49,死亡诗社,9.1,1989,美国,剧情
50,教父2,9.2,1974,美国,剧情 犯罪
51,两杆大烟枪,9.1,1998,英国,剧情 喜剧 犯罪
52,指环王2：双塔奇兵,9.1,2002,美国 新西兰,剧情 动作 奇幻 冒险
53,飞越疯人院,9.1,1975,美国,剧情
54,狮子王,9,1994,美国,动画 冒险 歌舞
55,指环王1：魔戒再现,9,2001,新西兰 美国,剧情 动作 奇幻 冒险
56,V字仇杀队,8.9,2005,美国 英国 德国,剧情 动作 科幻 惊悚
57,美丽心灵,9,2001,美国,传记 剧情
58,饮食男女,9.1,1994,中国台湾 美国,剧情 家庭
59,大闹天宫,9.3,1961(中国大陆),1964(中国大陆),1978(中国大陆)
60,哈利·波特与魔法石,8.9,2001,美国 英国,奇幻 冒险
61,钢琴家,9.1,2002,法国 德国 英国 波兰,剧情 传记 历史 战争 音乐
62,海豚湾,9.3,2009,美国,纪录片
63,本杰明·巴顿奇事,8.9,2008,美国,剧情 爱情 奇幻
64,黑客帝国,9,1999,美国 澳大利亚,动作 科幻
65,情书,8.9,1995,日本,剧情 爱情
66,看不见的客人,8.8,2016,西班牙,剧情 犯罪 悬疑 惊悚
67,让子弹飞,8.8,2010,中国大陆 中国香港,剧情 喜剧 动作 西部
68,我不是药神,9,2018,中国大陆,剧情 喜剧
69,西西里的美丽传说,8.9,2000,意大利 美国,剧情 战争 情色
70,猫鼠游戏,8.9,2002,美国 加拿大,传记 犯罪 剧情
71,小鞋子,9.2,1997,伊朗,剧情 儿童 家庭
72,拯救大兵瑞恩,9,1998,美国,剧情 历史 战争
73,美国往事,9.2,1984,美国 意大利,犯罪 剧情
74,音乐之声,9,1965,美国,剧情 传记 爱情 歌舞
75,致命魔术,8.8,2006,美国 英国,剧情 悬疑 惊悚
76,七宗罪,8.8,1995,美国,剧情 犯罪 悬疑 惊悚
77,低俗小说,8.8,1994,美国,剧情 喜剧 犯罪
78,穿条纹睡衣的男孩,9.1,2008,英国 美国,剧情 战争
79,被嫌弃的松子的一生,8.9,2006,日本,剧情 歌舞
80,沉默的羔羊,8.8,1991,美国,剧情 犯罪 惊悚
81,蝴蝶效应,8.8,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
82,春光乍泄,8.9,1997,中国香港 日本 韩国,剧情 爱情 同性
83,心灵捕手,8.9,1997,美国,剧情
84,禁闭岛,8.8,2010,美国,剧情 悬疑 惊悚
85,勇敢的心,8.9,1995,美国,动作 传记 剧情 历史 战争
86,布达佩斯大饭店,8.8,2014,美国 德国 英国,剧情 喜剧 冒险
87,剪刀手爱德华,8.7,1990,美国,剧情 奇幻 爱情
88,天使爱美丽,8.7,2001,法国 德国,喜剧 爱情
89,阿凡达,8.7,2009,美国 英国,动作 科幻 冒险
90,摩登时代,9.3,1936,美国,剧情 喜剧 爱情
91,加勒比海盗,8.7,2003,美国,动作 冒险 奇幻
92,致命ID,8.8,2003,美国,剧情 悬疑 惊悚
93,幽灵公主,8.9,1997,日本,动画 奇幻 冒险
94,断背山,8.8,2005,美国 加拿大,剧情 爱情 同性 家庭
95,入殓师,8.8,2008,日本,剧情
96,喜剧之王,8.7,1999,中国香港,喜剧 剧情 爱情
97,阳光灿烂的日子,8.8,1994,中国大陆 中国香港,剧情 爱情
98,重庆森林,8.7,1994,中国香港,剧情 爱情
99,狩猎,9.1,2012,丹麦 瑞典,剧情
100,第六感,8.9,1999,美国,剧情 悬疑 惊悚
101,海蒂和爷爷,9.2,2015,德国 瑞士 南非,剧情 冒险 家庭
102,杀人回忆,8.8,2003,韩国,犯罪 剧情 悬疑 惊悚
103,玛丽和马克思,8.9,2009,澳大利亚,剧情 喜剧 动画
104,小森林 夏秋篇,9,2014,日本,剧情
105,消失的爱人,8.7,2014,美国,剧情 犯罪 悬疑 惊悚
106,请以你的名字呼唤我,8.8,2017,意大利 法国 巴西 美国 荷兰 德国,剧情 爱情 同性
107,告白,8.7,2010,日本,剧情 惊悚
108,一一,9,2000,中国台湾 日本,剧情 爱情 家庭
109,大鱼,8.8,2003,美国,剧情 家庭 奇幻 冒险
110,爱在黎明破晓前,8.8,1995,美国 奥地利 瑞士,剧情 爱情
111,红辣椒,9,2006,日本,动画 悬疑 科幻 惊悚
112,阳光姐妹淘,8.8,2011,韩国,剧情 喜剧
113,侧耳倾听,8.9,1995,日本,剧情 爱情 动画
114,7号房的礼物,8.8,2013,韩国,剧情 喜剧 家庭
115,射雕英雄传之东成西就,8.7,1993,中国香港,喜剧 奇幻 武侠 古装
116,甜蜜蜜,8.8,1996,中国香港,剧情 爱情
117,超脱,8.9,2011,美国,剧情
118,哈利·波特与死亡圣器(下),8.8,2011,美国 英国,剧情 悬疑 奇幻 冒险
119,倩女幽魂,8.7,1987,中国香港,爱情 奇幻 武侠 古装
120,小森林 冬春篇,9,2015,日本,剧情
121,驯龙高手,8.7,2010,美国,动画 奇幻 冒险
122,蝙蝠侠：黑暗骑士崛起,8.7,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚
123,菊次郎的夏天,8.8,1999,日本,剧情 喜剧
124,恐怖直播,8.8,2013,韩国,剧情 犯罪 悬疑
125,爱在日落黄昏时,8.8,2004,美国,剧情 爱情
126,唐伯虎点秋香,8.6,1993,中国香港,喜剧 爱情 古装
127,萤火之森,8.8,2011,日本,剧情 爱情 动画 奇幻
128,幸福终点站,8.8,2004,美国,喜剧 剧情 爱情
129,超能陆战队,8.6,2014,美国,喜剧 动作 科幻 动画 冒险
130,借东西的小人阿莉埃蒂,8.8,2010,日本,动画 奇幻 冒险
131,风之谷,8.8,1984,日本,动画 奇幻 冒险
132,无人知晓,9.1,2004,日本,剧情
133,神偷奶爸,8.6,2010,美国 法国,喜剧 动画 冒险
134,上帝之城,8.9,2002,巴西 法国,犯罪 剧情
135,绿皮书,8.9,2018,美国,剧情 喜剧 传记
136,怪兽电力公司,8.7,2001,美国,儿童 喜剧 动画 奇幻 冒险
137,玩具总动员3,8.8,2010,美国,喜剧 动画 奇幻 冒险
138,血战钢锯岭,8.7,2016,美国 澳大利亚,剧情 传记 历史 战争
139,电锯惊魂,8.7,2004,美国,悬疑 惊悚 恐怖
140,岁月神偷,8.7,2010,中国香港 中国大陆,剧情 家庭
141,喜宴,8.9,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭
142,七武士,9.2,1954,日本,动作 冒险 剧情
143,谍影重重3,8.8,2007,美国 德国,动作 悬疑 惊悚
144,时空恋旅人,8.7,2013,英国,喜剧 爱情 奇幻
145,英雄本色,8.7,1986,中国香港,剧情 动作 犯罪
146,完美的世界,9.1,1993,美国,剧情 犯罪
147,傲慢与偏见,8.6,2005,法国 英国 美国,剧情 爱情
148,疯狂原始人,8.7,2013,美国,喜剧 动画 冒险
149,萤火虫之墓,8.7,1988,日本,动画 剧情 战争
150,东邪西毒,8.6,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
151,教父3,8.9,1990,美国,剧情 犯罪
152,爆裂鼓手,8.7,2014,美国,剧情 音乐
153,真爱至上,8.6,2003,英国 美国 法国,喜剧 剧情 爱情
154,被解救的姜戈,8.7,2012,美国,剧情 动作 西部 冒险
155,心迷宫,8.7,2014,中国大陆,剧情 犯罪 悬疑
156,纵横四海,8.8,1991,中国香港,剧情 喜剧 动作 犯罪
157,贫民窟的百万富翁,8.6,2008,英国 美国,剧情 爱情
158,记忆碎片,8.6,2000,美国,犯罪 剧情 悬疑 惊悚
159,黑天鹅,8.5,2010,美国,剧情 惊悚
160,三块广告牌,8.7,2017,美国 英国,剧情 犯罪
161,荒蛮故事,8.8,2014,阿根廷 西班牙,剧情 喜剧 犯罪
162,达拉斯买家俱乐部,8.8,2013,美国,剧情 传记 同性
163,哪吒闹海,9,1979,中国大陆,冒险 动画 奇幻
164,我是山姆,8.9,2001,美国,剧情 家庭
165,你的名字。,8.4,2016,日本,剧情 爱情 动画
166,花样年华,8.6,2000,中国香港,剧情 爱情
167,雨人,8.7,1988,美国,剧情
168,卢旺达饭店,8.9,2004,英国 南非 意大利,剧情 历史 战争
169,天书奇谭,9.2,1983(中国大陆),2019(中国大陆重映),中国大陆
170,头号玩家,8.7,2018,美国,动作 科幻 冒险
171,头脑特工队,8.7,2015,美国,喜剧 动画 冒险
172,你看起来好像很好吃,8.8,2010,日本,剧情 动画 儿童
173,功夫,8.5,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
174,海边的曼彻斯特,8.6,2016,美国,剧情 家庭
175,无敌破坏王,8.7,2012,美国,喜剧 动画 奇幻 冒险
176,未麻的部屋,8.9,1997,日本,动画 奇幻 惊悚
177,恋恋笔记本,8.5,2004,美国,剧情 爱情
178,忠犬八公物语,9.1,1987,日本,剧情
179,冰川时代,8.5,2002,美国,喜剧 动画 冒险
180,一个叫欧维的男人决定去死,8.8,2015,瑞典,剧情
181,模仿游戏,8.6,2014,英国 美国,剧情 传记 战争 同性
182,二十二,8.7,2015,中国大陆,纪录片
183,虎口脱险,8.9,1966,法国 英国,喜剧 战争
184,黑客帝国3：矩阵革命,8.7,2003,美国 澳大利亚,动作 科幻
185,雨中曲,9,1952,美国,喜剧 歌舞 爱情
186,海洋,9.1,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片
187,海街日记,8.7,2015,日本,剧情 家庭
188,人工智能,8.6,2001,美国,冒险 剧情 科幻
189,房间,8.8,2015,爱尔兰 加拿大 英国 美国,剧情 家庭
190,魔女宅急便,8.6,1989,日本,动画 奇幻 冒险
191,恐怖游轮,8.4,2009,英国 澳大利亚,剧情 悬疑 惊悚
192,燃情岁月,8.8,1994,美国,剧情 爱情 战争 西部
193,惊魂记,8.9,1960,美国,悬疑 惊悚 恐怖
194,穿越时空的少女,8.6,2006,日本,剧情 爱情 科幻 动画
195,罗生门,8.8,1950,日本,犯罪 剧情 悬疑
196,魂断蓝桥,8.8,1940,美国,剧情 爱情 战争
197,釜山行,8.4,2016,韩国,动作 惊悚 灾难
198,完美陌生人,8.5,2016,意大利,剧情 喜剧
199,疯狂的石头,8.4,2006,中国大陆 中国香港,喜剧 犯罪
200,奇迹男孩,8.6,2017,美国 中国香港,剧情 儿童 家庭
201,猜火车,8.5,1996,英国,剧情 犯罪
202,终结者2：审判日,8.7,1991,美国 法国,动作 科幻
203,人生果实,9.6,2017,日本,纪录片
204,阿飞正传,8.5,1990,中国香港,犯罪 剧情 爱情
205,可可西里,8.7,2004,中国大陆 中国香港,剧情 犯罪
206,香水,8.5,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻
207,初恋这件小事,8.4,2010,泰国,剧情 喜剧 爱情
208,牯岭街少年杀人事件,8.8,1991,中国台湾,剧情 犯罪
209,新世界,8.8,2013,韩国,剧情 犯罪
210,谍影重重2,8.6,2004,美国 德国,动作 悬疑 惊悚
211,2001太空漫游,8.8,1968,英国 美国,科幻 惊悚 冒险
212,谍影重重,8.6,2002,美国 德国 捷克,动作 悬疑 惊悚
213,战争之王,8.6,2005,美国 法国,剧情 犯罪
214,爱在午夜降临前,8.8,2013,美国 希腊,剧情 爱情
215,地球上的星星,8.9,2007,印度,剧情 儿童 家庭
216,青蛇,8.5,1993,中国香港,剧情 爱情 奇幻 古装
217,浪潮,8.7,2008,德国,剧情 惊悚
218,朗读者,8.5,2008,美国 德国,剧情 爱情
219,新龙门客栈,8.6,1992,中国香港 中国大陆,动作 爱情 武侠 古装
220,无耻混蛋,8.5,2009,德国 美国,剧情 犯罪
221,源代码,8.4,2011,美国 加拿大,科幻 悬疑 惊悚
222,绿里奇迹,8.8,1999,美国,犯罪 剧情 奇幻 悬疑
223,步履不停,8.8,2008,日本,剧情 家庭
224,哈利·波特与阿兹卡班的囚徒,8.5,2004,英国 美国,剧情 奇幻 冒险
225,小萝莉的猴神大叔,8.5,2015,印度,剧情 喜剧 动作
226,血钻,8.6,2006,美国 德国,剧情 惊悚 冒险
227,城市之光,9.3,1931,美国,喜剧 剧情 爱情
228,再次出发之纽约遇见你,8.5,2013,美国,喜剧 爱情 音乐
229,彗星来的那一夜,8.5,2013,美国 英国,科幻 悬疑 惊悚
230,追随,8.9,1998,英国,犯罪 悬疑 惊悚
231,疯狂的麦克斯4：狂暴之路,8.6,2015,澳大利亚 美国,动作 科幻 冒险
232,哈利·波特与密室,8.5,2002,美国 英国 德国,奇幻 冒险
233,一次别离,8.7,2011,伊朗 法国,剧情 家庭
234,东京物语,9.2,1953,日本,剧情 家庭
235,聚焦,8.8,2015,美国,剧情 传记
236,遗愿清单,8.6,2007,美国,冒险 喜剧 剧情
237,小偷家族,8.7,2018,日本,剧情 犯罪 家庭
238,撞车,8.6,2004,美国 德国,犯罪 剧情
239,发条橙,8.5,1971,英国 美国,犯罪 剧情 科幻
240,色，戒,8.4,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
241,梦之安魂曲,8.7,2000,美国,剧情
242,黑鹰坠落,8.6,2001,美国,动作 历史 战争
243,驴得水,8.3,2016,中国大陆,剧情 喜剧
244,大佛普拉斯,8.7,2017,中国台湾,剧情 喜剧 犯罪
245,我爱你,9,2011,韩国,剧情 爱情
246,E.T. 外星人,8.6,1982,美国,剧情 科幻
247,末路狂花,8.7,1991,美国 法国,犯罪 剧情 惊悚
248,千钧一发,8.7,1997,美国,剧情 科幻 惊悚
249,变脸,8.5,1997,美国,动作 科幻 犯罪 惊悚
250,这个男人来自地球,8.5,2007,美国,剧情 科幻
